[2025-06-01 19:56:34 UTC] BTC:  USD
[2025-06-01 20:07:15 UTC] BTC:  USD
[2025-06-01 20:09:29 UTC] BTC: 105115 USD
[2025-06-01 20:22:30 UTC] BTC: 105099 USD
[2025-06-02 00:41:57 UTC] BTC: 105597 USD
[2025-06-03 01:23:22 UTC] BTC: 106311 USD
[2025-06-03 01:28:47 UTC] BTC: 106329 USD
[2025-06-03 01:34:05 UTC] BTC: 106340 USD
[2025-06-03 01:37:36 UTC] BTC: 106334 USD
[2025-06-03 02:05:34 UTC] BTC: 106442 USD
[2025-06-03 02:05:52 UTC] BTC: 106442 USD
[2025-06-03 02:22:59 UTC] BTC: 106353 USD
[2025-06-03 02:26:35 UTC] BTC: 106327 USD
[2025-06-03 02:57:29 UTC] BTC: 105965 USD
[2025-06-03 12:11:22 UTC] BTC: 105320 USD
