date,channel,videos,subscribers,views
2025-07-03 11:04:07 UTC,Main,170,394,504786
2025-07-03 11:04:07 UTC,Fortnite,257,270,255477
2025-07-03 11:04:07 UTC,Troubleshooting,14,35,19768
2025-07-03 11:04:07 UTC,Adamsmr,53,15,19352
2025-07-03 11:04:07 UTC,AJ_Studios,11,5,5391
2025-07-03 11:07:45 UTC,Main,170,394,504786
2025-07-03 11:07:45 UTC,Fortnite,257,270,255477
2025-07-03 11:07:45 UTC,Troubleshooting,14,35,19768
2025-07-03 11:07:45 UTC,Adamsmr,53,15,19352
2025-07-03 11:07:45 UTC,AJ_Studios,11,5,5391
