date,channel,videos,subscribers,views
2025-07-04 00:47:44 UTC,Main,170,394,504813
2025-07-04 00:47:44 UTC,Fortnite,257,270,255578
2025-07-04 00:47:44 UTC,Troubleshooting,14,35,19768
2025-07-04 00:47:44 UTC,Adamsmr,53,15,19764
2025-07-04 00:47:44 UTC,AJ_Studios,11,5,5391
2025-07-04 01:01:17 UTC,Main,170,394,504813
2025-07-04 01:01:17 UTC,Fortnite,257,270,255578
2025-07-04 01:01:17 UTC,Troubleshooting,14,35,19768
2025-07-04 01:01:17 UTC,Adamsmr,53,15,19764
2025-07-04 01:01:17 UTC,AJ_Studios,11,5,5391
2025-07-05 00:59:00 UTC,Main,170,394,504859
2025-07-05 00:59:00 UTC,Fortnite,257,269,256280
2025-07-05 00:59:00 UTC,Troubleshooting,14,35,19776
2025-07-05 00:59:00 UTC,Adamsmr,54,15,19772
2025-07-05 00:59:00 UTC,AJ_Studios,11,5,5392
